BankID,Station ID,Star_year,End_year,Lat,Long,Long 2,Elev,Station name,ISPD directory,ISPD_path_directory,source_path_name,Source_name,Source_Contact,Source_ID
3009,0201E,1850,1935,41.39,2.16,2.16,42,BARCELONA,ISPD2_2_4/ispd1_1/spanish/0201E,ISPD2_2_4,ispd1_1,Spanish Hourly Pressure Observations ,manola.brunet@urv.net ,269
1000,074300-99999,1931,1937,45.7,2.25,2.25,765,1E+030,ISPD2_2_4/isd2ispd/0/074300-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,071490-99999,1937,1938,48.87,2.3,2.3,32,PARIS-ORLY,ISPD2_2_4/isd2ispd/0/071490-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,071500-99999,1928,1940,48.95,2.43,2.43,46,LE BOURGET,ISPD2_2_4/isd2ispd/0/071500-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,063000-99999,1931,1938,51.58,2.62,2.62,4,NOORDHINDER,ISPD2_2_4/isd2ispd/0/063000-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,072570-99999,1931,2004,47.05,2.65,2.65,179,AVORD (FAFB),ISPD2_2_4/isd2ispd/0/072570-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,077470-99999,1929,1939,42.73,2.87,2.87,45,PERPIGNAN,ISPD2_2_4/isd2ispd/0/077470-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,064070-99999,1936,1942,51.2,2.92,2.92,4,OOSTENDE (AIRPORT),ISPD2_2_4/isd2ispd/0/064070-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,074420-99999,1936,1938,45.77,2.97,2.97,1467,PUY DE DOME,ISPD2_2_4/isd2ispd/0/074420-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1015,60590-0,1892,1938,30.55,3.07,3.07,394,El-Golea,ISPD40_add/001015_EURO4M/60590-0,ISPD40_add,001015_EURO4M,EURO4M/MEDARE/C3 hourly SLP observations for North African stations,Manola Brunet,#N/A
1015,60369-0,1877,1938,36.78,3.07,3.07,59,Algiers-Ville/Université,ISPD40_add/001015_EURO4M/60369-0,ISPD40_add,001015_EURO4M,EURO4M/MEDARE/C3 hourly SLP observations for North African stations,Manola Brunet,#N/A
1000,074600-99999,1931,1938,45.78,3.15,3.15,330,CLERMONT-FERRAND,ISPD2_2_4/isd2ispd/0/074600-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,075580-99999,1936,1938,44.07,3.2,3.2,48,MILLAU,ISPD2_2_4/isd2ispd/0/075580-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,070160-99999,1931,1938,50.15,3.27,3.27,98,1E+030,ISPD2_2_4/isd2ispd/0/070160-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,070610-99999,1936,1938,49.82,3.32,3.32,101,SAINT-QUENTIN,ISPD2_2_4/isd2ispd/0/070610-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
2001,29292,1928,1936,51.57,3.5,3.5,9999,1E+030,ISPD2_2_4/ispd1_1/td13/29292,ISPD2_2_4,ispd1_1,NCEP Operational BUFR Archive,Jack.Woolen@noaa.gov,#N/A
1000,072650-99999,1936,2013,47.8,3.55,3.55,212,AUXERRE,ISPD2_2_4/isd2ispd/0/072650-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
2001,10292,1930,1938,51.43,3.57,3.57,9999,1E+030,ISPD2_2_4/ispd1_1/td13/10292,ISPD2_2_4,ispd1_1,NCEP Operational BUFR Archive,Jack.Woolen@noaa.gov,#N/A
1000,075600-99999,1936,1938,44.12,3.58,3.58,1554,MONT AIGOUAL,ISPD2_2_4/isd2ispd/0/075600-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,076410-99999,1936,1938,43.4,3.68,3.68,180,SETE,ISPD2_2_4/isd2ispd/0/076410-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,071600-99999,1936,1938,48.5,3.75,3.75,77,1E+030,ISPD2_2_4/isd2ispd/0/071600-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,074700-99999,1931,1938,45.05,3.88,3.88,715,LE PUY CITY,ISPD2_2_4/isd2ispd/0/074700-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,070700-99999,1931,1942,49.25,4.08,4.08,87,REIMS,ISPD2_2_4/isd2ispd/0/070700-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,083140-99999,1931,1939,39.88,4.27,4.27,43,MENORCA/MAHON,ISPD2_2_4/isd2ispd/0/083140-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,064590-99999,1931,2008,49.98,4.33,4.33,328,ERNAGE,ISPD2_2_4/isd2ispd/0/064590-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,070720-99999,1936,2012,49.12,4.35,4.35,131,REIMS-PRUNAY,ISPD2_2_4/isd2ispd/0/070720-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,076450-99999,1936,1938,43.85,4.4,4.4,61,NIMES-COURBESSAC,ISPD2_2_4/isd2ispd/0/076450-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,064510-99999,1930,1942,50.88,4.42,4.42,55,BRUXELLES NATIONAL,ISPD2_2_4/isd2ispd/0/064510-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,075770-99999,1931,1938,44.58,4.72,4.72,75,MONTELIMAR,ISPD2_2_4/isd2ispd/0/075770-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,075890-99999,1936,1938,44,4.75,4.75,57,1E+030,ISPD2_2_4/isd2ispd/0/075890-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,062300-99999,1931,1936,52.97,4.75,4.75,6,1E+030,ISPD2_2_4/isd2ispd/0/062300-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,062400-99999,1932,1938,52.3,4.78,4.78,-3,AMSTERDAM AP SCHIPH,ISPD2_2_4/isd2ispd/0/062400-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,062450-99999,1936,1938,53.45,4.78,4.78,3,1E+030,ISPD2_2_4/isd2ispd/0/062450-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,013090-99999,1931,1938,61.57,4.8,4.8,8,KINN ISLAND,ISPD2_2_4/isd2ispd/0/013090-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,014030-99999,1928,1938,59.3,4.88,4.88,57,UTSIRA FYR,ISPD2_2_4/isd2ispd/0/014030-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,014030-99999,1929,2010,59.3,4.88,4.88,56,UTSIRA FYR,ISPD2_2_4/isd2ispd/0/014030-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1011,amsterdam,1878,1964,52.37,4.91,4.91,3,Montelbaanstoren,ISPD40_add/001011_knmi/amsterdam,ISPD40_add,001011_knmi,KNMI,Theo.Brandsma@knmi.nl,#N/A
1000,074810-99999,1937,1937,45.73,4.92,4.92,198,LYON-SATOLAS,ISPD2_2_4/isd2ispd/0/074810-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
3017,69029001,1923,1973,45.73,4.94,4.94,198,Lyon Bron aéroport,ISPD40_add/003017_MeteoFrance/69029001,ISPD40_add,003017_MeteoFrance,French hourly SLP from Meteo-France,sylvie.jourdain@meteo.fr ,277
1000,076470-99999,1936,1938,43.42,4.98,4.98,29,ISTRES,ISPD2_2_4/isd2ispd/0/076470-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,012030-99999,1931,2013,62.03,4.98,4.98,41,KRAKENES,ISPD2_2_4/isd2ispd/0/012030-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,072800-99999,1931,1936,47.27,5.08,5.08,223,DIJON,ISPD2_2_4/isd2ispd/0/072800-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1011,De_Bilt,1897,2009,52.1,5.18,5.18,9999,De Bilt,ISPD2_2_4/knmi/De_Bilt,ISPD2_2_4,knmi,KNMI,Theo.Brandsma@knmi.nl,#N/A
1000,076500-99999,1931,1938,43.42,5.2,5.2,12,MARIGNANE,ISPD2_2_4/isd2ispd/0/076500-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
2001,10231,1939,1939,43.43,5.22,5.22,9999,1E+030,ISPD2_2_4/ispd1_1/td13/10231,ISPD2_2_4,ispd1_1,NCEP Operational BUFR Archive,Jack.Woolen@noaa.gov,#N/A
3017,13054001,1921,1943,43.44,5.22,5.22,9,Marignane,ISPD40_add/003017_MeteoFrance/13054001,ISPD40_add,003017_MeteoFrance,French hourly SLP from Meteo-France,sylvie.jourdain@meteo.fr ,277
1000,075850-99999,1936,1938,44.17,5.28,5.28,1900,1E+030,ISPD2_2_4/isd2ispd/0/075850-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
2001,10248,1934,1939,44.17,5.28,5.28,9999,1E+030,ISPD2_2_4/ispd1_1/td13/10248,ISPD2_2_4,ispd1_1,NCEP Operational BUFR Archive,Jack.Woolen@noaa.gov,#N/A
3002,1316,1868,1975,60.38,5.33,5.33,9999,BERGEN-FLORIDA,ISPD2_2_4/ispd1_1/wasa/N__01316,ISPD2_2_4,ispd1_1,WASA Stations Observations SLP,Torben Schmith  ts@dmi.dk ,#N/A
1015,60445-0,1885,1938,36.18,5.4,5.4,1081,Setif,ISPD40_add/001015_EURO4M/60445-0,ISPD40_add,001015_EURO4M,EURO4M/MEDARE/C3 hourly SLP observations for North African stations,Manola Brunet,#N/A
1015,60525-0,1884,1938,34.85,5.72,5.72,125,Biskra,ISPD40_add/001015_EURO4M/60525-0,ISPD40_add,001015_EURO4M,EURO4M/MEDARE/C3 hourly SLP observations for North African stations,Manola Brunet,#N/A
1000,074880-99999,1931,1939,45.17,5.73,5.73,324,1E+030,ISPD2_2_4/isd2ispd/0/074880-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,074890-99999,1931,1939,45.3,5.87,5.87,1154,1E+030,ISPD2_2_4/isd2ispd/0/074890-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,076600-99999,1936,1938,43.1,5.92,5.92,23,TOULON,ISPD2_2_4/isd2ispd/0/076600-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,100020-99999,1928,1939,53.77,6.07,6.07,9999,BORKUMRIFF(LGT-VSL),ISPD2_2_4/isd2ispd/1/100020-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,105010-99999,1928,1943,50.78,6.1,6.1,63,AACHEN,ISPD2_2_4/isd2ispd/1/105010-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
3010,02205-10501,1939,2007,50.78,6.1,6.1,202,AACHEN (WEWA),ISPD2_2_4/Germany/10501,ISPD2_2_4,Germany,German climate observations,www.dwd.de,270
1000,070900-99999,1936,1986,49.08,6.13,6.13,190,METZ/FRESCATY,ISPD2_2_4/isd2ispd/0/070900-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
3012,8390,1866,1962,46.2,6.15,6.15,405,GENEVE OBSERVATOIRE,ISPD30_add/SWITZERLAND/8390,ISPD30_add,SWITZERLAND,Meteoswiss station collection,rob.allan@metoffice.gov.uk,272
1000,071800-99999,1926,1938,48.7,6.23,6.23,236,NANCY-ESSEY,ISPD2_2_4/isd2ispd/0/071800-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,104090-99999,1931,1943,51.83,6.27,6.27,5,1E+030,ISPD2_2_4/isd2ispd/1/104090-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,104070-99999,1938,1942,51.18,6.4,6.4,24,1E+030,ISPD2_2_4/isd2ispd/1/104070-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,071820-99999,1936,1938,48.17,6.42,6.42,380,RECHICOURT,ISPD2_2_4/isd2ispd/0/071820-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,075930-99999,1934,1935,44.9,6.52,6.52,9999,BRIANCON,ISPD2_2_4/isd2ispd/0/075930-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,104030-99999,1938,1942,51.37,6.52,6.52,10,MOENCHENGLADBACH,ISPD2_2_4/isd2ispd/1/104030-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,062800-99999,1931,1938,53.22,6.55,6.55,10,GRONINGEN AP EELDE,ISPD2_2_4/isd2ispd/0/062800-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,014270-99999,1928,1939,58.1,6.57,6.57,9,LISTA FYR,ISPD2_2_4/isd2ispd/0/014270-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1015,60419-0,1880,1938,36.37,6.62,6.62,660,Constantine,ISPD40_add/001015_EURO4M/60419-0,ISPD40_add,001015_EURO4M,EURO4M/MEDARE/C3 hourly SLP observations for North African stations,Manola Brunet,#N/A
3010,2277,1901,1949,49.75,6.65,6.65,149,Trier,ISPD40_add/003010_GermanWS/02277,ISPD40_add,003010_GermanWS,German climate observations,www.dwd.de,270
1000,106090-99999,1935,1943,49.75,6.67,6.67,81,TRIER/PETRISBERG,ISPD2_2_4/isd2ispd/1/106090-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,100010-99999,1931,1943,53.6,6.7,6.7,4,FORSCHUNGS PLATFORM,ISPD2_2_4/isd2ispd/1/100010-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,104000-99999,1934,1943,51.28,6.77,6.77,11,DUSSELDORF,ISPD2_2_4/isd2ispd/1/104000-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,074960-99999,1936,1938,45.28,6.88,6.88,1403,MODANE AVRIEUX,ISPD2_2_4/isd2ispd/0/074960-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,105130-99999,1931,1939,50.98,6.9,6.9,15,KOLN/BONN (CIV/MIL),ISPD2_2_4/isd2ispd/1/105130-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,105100-99999,1931,1942,50.35,6.95,6.95,189,NUERBURG,ISPD2_2_4/isd2ispd/1/105100-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,104100-99999,1931,1942,51.4,6.95,6.95,37,ESSEN/MULHEIM,ISPD2_2_4/isd2ispd/1/104100-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,107080-99999,1935,1939,49.22,7.03,7.03,189,SAARBRUCKEN/ENSHEIM,ISPD2_2_4/isd2ispd/1/107080-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,105130-99999,1938,1943,50.93,7.07,7.07,15,KOLN/BONN (CIV/MIL),ISPD2_2_4/isd2ispd/1/105130-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,103080-99999,1931,1941,52.42,7.07,7.07,9,NORDHORN RANGE,ISPD2_2_4/isd2ispd/1/103080-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,101130-99999,1935,1941,53.7,7.15,7.15,4,NORDERNEY ISLAND,ISPD2_2_4/isd2ispd/1/101130-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
3012,7620,1866,2002,45.87,7.17,7.17,2479,GRAND ST BERNARD,ISPD30_add/SWITZERLAND/7620,ISPD30_add,SWITZERLAND,Meteoswiss station collection,rob.allan@metoffice.gov.uk,272
1000,105170-99999,1936,1943,50.77,7.17,7.17,18,BONN/FRIESDORF(AUT),ISPD2_2_4/isd2ispd/1/105170-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,076870-99999,1931,1938,43.72,7.22,7.22,3,1E+030,ISPD2_2_4/isd2ispd/0/076870-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
1000,071840-99999,1936,1938,48.73,7.35,7.35,205,1E+030,ISPD2_2_4/isd2ispd/0/071840-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
3012,7500,1864,1977,46.24,7.36,7.36,542,SION,ISPD30_add/SWITZERLAND/7500,ISPD30_add,SWITZERLAND,Meteoswiss station collection,rob.allan@metoffice.gov.uk,272
3012,5520,1864,2002,46.93,7.42,7.42,570,BERN,ISPD30_add/SWITZERLAND/5520,ISPD30_add,SWITZERLAND,Meteoswiss station collection,rob.allan@metoffice.gov.uk,272
3024,bizerte-cap-b,1899,1924,37.33,7.5,7.5,260,BIZERTE CAP BLANC,ISPD30_add/Tunisia-morocco/bizerte-cap-b,ISPD30_add,Tunisia-morocco,African SLP from Meteo France,olivier.mestre@meteo.fr ,284
3024,bizerte-cap-b,1925,1937,37.33,7.5,7.5,265,BIZERTE CAP BLANC,ISPD30_add/Tunisia-morocco/bizerte-cap-b,ISPD30_add,Tunisia-morocco,African SLP from Meteo France,olivier.mestre@meteo.fr ,284
1000,105150-99999,1936,1943,50.35,7.57,7.57,53,BENDORF,ISPD2_2_4/isd2ispd/1/105150-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
3012,1940,1901,2002,47.54,7.58,7.58,316,BASEL,ISPD30_add/SWITZERLAND/1940,ISPD30_add,SWITZERLAND,Meteoswiss station collection,rob.allan@metoffice.gov.uk,272
1000,104160-99999,1931,1942,51.53,7.58,7.58,21,DORTMUND/WICKEDE,ISPD2_2_4/isd2ispd/1/104160-99999,ISPD2_2_4,isd2ispd,Federal Climate Complex Integrated Surface Data,Neal.Lott@noaa.gov,#N/A
